Age,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,Music,GradeClass
0.6666666667,0,0.5,0.9927731525,0.2413793103,1,1,2
1,0,0.25,0.7712704842,0,0,0,1
0,0.6666666667,0.75,0.2107175854,0.8965517241,0,0,4
0.6666666667,0,0.75,0.501964931,0.4827586207,0,0,3
0.6666666667,0,0.5,0.2338403838,0.5862068966,1,0,4
1,0,0.25,0.4099788172,0,0,0,1
0,0.3333333333,0.25,0.7809277722,0.3448275862,0,0,2
0,0.3333333333,1,0.7720583888,0.7586206897,1,0,4
0.6666666667,0,0,0.2283096838,0.03448275862,0,0,2
0.3333333333,0,0.25,0.923230457,0,0,0,0
0.6666666667,0,0.25,0.5931964285,0.3793103448,0,0,3
0.6666666667,0,0.25,0.3803081007,0.5172413793,0,0,4
0.6666666667,0.3333333333,0.25,0.502459649,0.724137931,0,0,4
0.6666666667,0.3333333333,0.5,0.6057138504,0.724137931,0,0,4
1,0,0.25,0.5604812165,0.3103448276,1,0,3
0,0,0.5,0.4869112471,0.5862068966,1,0,4
1,1,0.25,0.5054602942,0.4827586207,0,0,3
1,0,0,0.1765617694,0.5517241379,1,0,4
1,0.3333333333,0.75,0.8136142011,1,0,0,4
0.6666666667,0,0.25,0.5423301263,0.3103448276,0,1,3
0.3333333333,0,0.75,0.1311776116,0.06896551724,0,0,2
0,0,0.5,0.7669848637,0.8620689655,0,0,4
0.3333333333,0.3333333333,0,0.9334629054,1,1,0,4
1,1,1,0.9483428899,0.6896551724,0,0,4
1,0,0.25,0.369389014,0.5172413793,0,0,4
0.3333333333,0,0.75,0.1356197118,0.1724137931,0,1,2
0.3333333333,0,0.25,0.518942624,0.06896551724,0,0,2
0.3333333333,0,0.75,0.1126857802,0.275862069,0,1,3
1,0,0,0.9350080795,0.3448275862,0,0,2
1,0,0.5,0.1837377585,0.6896551724,0,0,4
0,0.6666666667,0.5,0.253003486,0.4137931034,1,0,4
0,0,0.75,0.4070510557,0.5862068966,0,0,4
1,0,0.75,0.3835519752,0.8620689655,0,0,4
0.3333333333,1,0.75,0.7955234302,0.724137931,0,0,4
0.3333333333,0,0.75,0.4567884116,0.9310344828,1,0,4
0,1,0.25,0.1709116322,0.7931034483,0,0,4
1,0,0.25,0.267464139,0.8965517241,1,0,4
0,0.6666666667,0.25,0.5096456997,0.724137931,1,0,4
0,0.3333333333,0.25,0.1475704831,0.1034482759,1,0,1
0.6666666667,0.6666666667,0.25,0.612305869,0.724137931,1,0,4
0.6666666667,1,0.5,0.5663446987,0.7931034483,1,0,4
0.6666666667,0,0.25,0.7154709179,0.2413793103,0,0,2
0.3333333333,1,0.5,0.9387295523,0.4137931034,1,0,2
1,0,0.25,0.9132502483,0.3103448276,0,0,2
1,0,0.25,0.9471101745,0.03448275862,1,0,0
1,0,0.5,0.2449439824,0.2413793103,0,1,2
1,0.3333333333,0.5,0.1316636196,0.1724137931,0,0,2
0.6666666667,0,0.5,0.3025712472,0.5172413793,0,0,4
0.3333333333,0.3333333333,0.5,0.8960611126,0.5862068966,0,1,3
0.3333333333,0.3333333333,0.25,0.9731178853,0.5517241379,0,0,3
0.6666666667,0.6666666667,0.5,0.8602598073,0.1724137931,0,0,2
